Short_Name,Full_Name
B02001e5,Asian alone:   Total population -- (Estimate)
B02001m5,Asian alone:   Total population -- (Margin of Error)
B02001e6,Native Hawaiian and Other Pacific Islander alone:   Total population -- (Estimate)
B02001m6,Native Hawaiian and Other Pacific Islander alone:   Total population -- (Margin of Error)
B02001e7,Some other race alone:   Total population -- (Estimate)
B02001m7,Some other race alone:   Total population -- (Margin of Error)
B02001e8,Two or more races:   Total population -- (Estimate)
B02001m8,Two or more races:   Total population -- (Margin of Error)
B02001e9,Two or more races:  Two races including Some other race:   Total population -- (Estimate)
B02001m9,Two or more races:  Two races including Some other race:   Total population -- (Margin of Error)
B02001e10,"Two or more races:  Two races excluding Some other race, and three or more races:   Total population -- (Estimate)"
B02001m10,"Two or more races:  Two races excluding Some other race, and three or more races:   Total population -- (Margin of Error)"
C02003e1,Total:   Total population -- (Estimate)
C02003m1,Total:   Total population -- (Margin of Error)
C02003e2,Population of one race:   Total population -- (Estimate)
C02003m2,Population of one race:   Total population -- (Margin of Error)
C02003e3,Population of one race:  White:   Total population -- (Estimate)
C02003m3,Population of one race:  White:   Total population -- (Margin of Error)
C02003e4,Population of one race:  Black or African American:   Total population -- (Estimate)
C02003m4,Population of one race:  Black or African American:   Total population -- (Margin of Error)
C02003e5,Population of one race:  American Indian and Alaska Native:   Total population -- (Estimate)
C02003m5,Population of one race:  American Indian and Alaska Native:   Total population -- (Margin of Error)
C02003e6,Population of one race:  Asian alone:   Total population -- (Estimate)
C02003m6,Population of one race:  Asian alone:   Total population -- (Margin of Error)
C02003e7,Population of one race:  Native Hawaiian and Other Pacific Islander:   Total population -- (Estimate)
C02003m7,Population of one race:  Native Hawaiian and Other Pacific Islander:   Total population -- (Margin of Error)
C02003e8,Population of one race:  Some other race:   Total population -- (Estimate)
C02003m8,Population of one race:  Some other race:   Total population -- (Margin of Error)
C02003e9,Population of two or more races:   Total population -- (Estimate)
C02003m9,Population of two or more races:   Total population -- (Margin of Error)
C02003e10,Population of two or more races:  Two races including Some other race:   Total population -- (Estimate)
C02003m10,Population of two or more races:  Two races including Some other race:   Total population -- (Margin of Error)
C02003e11,"Population of two or more races:  Two races excluding Some other race, and three or more races:   Total population -- (Estimate)"
C02003m11,"Population of two or more races:  Two races excluding Some other race, and three or more races:   Total population -- (Margin of Error)"
C02003e12,Population of two or more races:  Population of two races:   Total population -- (Estimate)
C02003m12,Population of two or more races:  Population of two races:   Total population -- (Margin of Error)
C02003e13,"Population of two or more races:  Population of two races:  White; Black or African American:   Total population -- (Estimate)"
C02003m13,"Population of two or more races:  Population of two races:  White; Black or African American:   Total population -- (Margin of Error)"
C02003e14,"Population of two or more races:  Population of two races:  White; American Indian and Alaska Native:   Total population -- (Estimate)"
C02003m14,"Population of two or more races:  Population of two races:  White; American Indian and Alaska Native:   Total population -- (Margin of Error)"
C02003e15,"Population of two or more races:  Population of two races:  White; Asian:   Total population -- (Estimate)"
C02003m15,"Population of two or more races:  Population of two races:  White; Asian:   Total population -- (Margin of Error)"
C02003e16,"Population of two or more races:  Population of two races:  Black or African American; American Indian and Alaska Native:   Total population -- (Estimate)"
C02003m16,"Population of two or more races:  Population of two races:  Black or African American; American Indian and Alaska Native:   Total population -- (Margin of Error)"
C02003e17,Population of two or more races:  Population of two races:  All other two race combinations:   Total population -- (Estimate)
C02003m17,Population of two or more races:  Population of two races:  All other two race combinations:   Total population -- (Margin of Error)
C02003e18,Population of three races:   Total population -- (Estimate)
C02003m18,Population of three races:   Total population -- (Margin of Error)
C02003e19,Population of four or more races:   Total population -- (Estimate)
C02003m19,Population of four or more races:   Total population -- (Margin of Error)
B02005e1,Total:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)
B02005m1,Total:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)
B02005e2,"American Indian tribes, specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m2,"American Indian tribes, specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e3,"American Indian tribes, specified:  Apache:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m3,"American Indian tribes, specified:  Apache:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e4,"American Indian tribes, specified:  Blackfeet:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m4,"American Indian tribes, specified:  Blackfeet:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e5,"American Indian tribes, specified:  Cherokee:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m5,"American Indian tribes, specified:  Cherokee:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e6,"American Indian tribes, specified:  Cheyenne:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m6,"American Indian tribes, specified:  Cheyenne:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e7,"American Indian tribes, specified:  Chickasaw:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m7,"American Indian tribes, specified:  Chickasaw:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e8,"American Indian tribes, specified:  Chippewa:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m8,"American Indian tribes, specified:  Chippewa:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e9,"American Indian tribes, specified:  Choctaw:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m9,"American Indian tribes, specified:  Choctaw:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e10,"American Indian tribes, specified:  Colville:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m10,"American Indian tribes, specified:  Colville:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e11,"American Indian tribes, specified:  Comanche:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m11,"American Indian tribes, specified:  Comanche:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e12,"American Indian tribes, specified:  Cree:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m12,"American Indian tribes, specified:  Cree:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e13,"American Indian tribes, specified:  Creek:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m13,"American Indian tribes, specified:  Creek:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e14,"American Indian tribes, specified:  Crow:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m14,"American Indian tribes, specified:  Crow:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e15,"American Indian tribes, specified:  Delaware:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m15,"American Indian tribes, specified:  Delaware:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e16,"American Indian tribes, specified:  Houma:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m16,"American Indian tribes, specified:  Houma:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e17,"American Indian tribes, specified:  Iroquois:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m17,"American Indian tribes, specified:  Iroquois:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e18,"American Indian tribes, specified:  Kiowa:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m18,"American Indian tribes, specified:  Kiowa:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e19,"American Indian tribes, specified:  Lumbee:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m19,"American Indian tribes, specified:  Lumbee:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e20,"American Indian tribes, specified:  Menominee:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m20,"American Indian tribes, specified:  Menominee:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e21,"American Indian tribes, specified:  Navajo:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m21,"American Indian tribes, specified:  Navajo:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e22,"American Indian tribes, specified:  Osage:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m22,"American Indian tribes, specified:  Osage:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e23,"American Indian tribes, specified:  Ottawa:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m23,"American Indian tribes, specified:  Ottawa:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e24,"American Indian tribes, specified:  Paiute:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m24,"American Indian tribes, specified:  Paiute:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e25,"American Indian tribes, specified:  Pima:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m25,"American Indian tribes, specified:  Pima:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e26,"American Indian tribes, specified:  Potawatomi:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m26,"American Indian tribes, specified:  Potawatomi:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e27,"American Indian tribes, specified:  Pueblo:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m27,"American Indian tribes, specified:  Pueblo:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e28,"American Indian tribes, specified:  Puget Sound Salish:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m28,"American Indian tribes, specified:  Puget Sound Salish:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e29,"American Indian tribes, specified:  Seminole:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m29,"American Indian tribes, specified:  Seminole:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e30,"American Indian tribes, specified:  Shoshone:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m30,"American Indian tribes, specified:  Shoshone:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e31,"American Indian tribes, specified:  Sioux:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m31,"American Indian tribes, specified:  Sioux:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e32,"American Indian tribes, specified:  Tohono O'Odham:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m32,"American Indian tribes, specified:  Tohono O'Odham:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e33,"American Indian tribes, specified:  Ute:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m33,"American Indian tribes, specified:  Ute:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e34,"American Indian tribes, specified:  Yakama:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m34,"American Indian tribes, specified:  Yakama:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e35,"American Indian tribes, specified:  Yaqui:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m35,"American Indian tribes, specified:  Yaqui:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e36,"American Indian tribes, specified:  Yuman:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m36,"American Indian tribes, specified:  Yuman:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e37,"American Indian tribes, specified:  Other American Indian Tribe:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m37,"American Indian tribes, specified:  Other American Indian Tribe:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e38,"American Indian tribes, specified:  American Indian tribes, not specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m38,"American Indian tribes, specified:  American Indian tribes, not specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e39,"American Indian tribes, specified:  Alaska Native tribes, specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m39,"American Indian tribes, specified:  Alaska Native tribes, specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e40,"American Indian tribes, specified:  Alaskan Athabascan:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m40,"American Indian tribes, specified:  Alaskan Athabascan:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e41,"American Indian tribes, specified:  Aleut:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m41,"American Indian tribes, specified:  Aleut:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e42,"American Indian tribes, specified:  Inupiat:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m42,"American Indian tribes, specified:  Inupiat:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e43,"American Indian tribes, specified:  Tlingit-Haida:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m43,"American Indian tribes, specified:  Tlingit-Haida:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e44,"American Indian tribes, specified:  Other Alaska Native Tribe:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m44,"American Indian tribes, specified:  Other Alaska Native Tribe:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e45,"Alaska Native tribes, not specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m45,"Alaska Native tribes, not specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02005e46,"American Indian tribes or Alaska Native tribes, not specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Estimate)"
B02005m46,"American Indian tribes or Alaska Native tribes, not specified:   People who are American Indian and Alaska Native alone and people with no tribe reported -- (Margin of Error)"
B02006e1,Total:   Total Asian alone population -- (Estimate)
B02006m1,Total:   Total Asian alone population -- (Margin of Error)
B02006e2,Asian Indian:   Total Asian alone population -- (Estimate)
B02006m2,Asian Indian:   Total Asian alone population -- (Margin of Error)
B02006e3,Bangladeshi:   Total Asian alone population -- (Estimate)
B02006m3,Bangladeshi:   Total Asian alone population -- (Margin of Error)
B02006e4,Cambodian:   Total Asian alone population -- (Estimate)
B02006m4,Cambodian:   Total Asian alone population -- (Margin of Error)
B02006e5,"Chinese , except Taiwanese:   Total Asian alone population -- (Estimate)"
B02006m5,"Chinese , except Taiwanese:   Total Asian alone population -- (Margin of Error)"
B02006e6,Filipino:   Total Asian alone population -- (Estimate)
B02006m6,Filipino:   Total Asian alone population -- (Margin of Error)
B02006e7,Hmong:   Total Asian alone population -- (Estimate)
B02006m7,Hmong:   Total Asian alone population -- (Margin of Error)
B02006e8,Indonesian:   Total Asian alone population -- (Estimate)
B02006m8,Indonesian:   Total Asian alone population -- (Margin of Error)
B02006e9,Japanese:   Total Asian alone population -- (Estimate)
B02006m9,Japanese:   Total Asian alone population -- (Margin of Error)
B02006e10,Korean:   Total Asian alone population -- (Estimate)
B02006m10,Korean:   Total Asian alone population -- (Margin of Error)
B02006e11,Laotian:   Total Asian alone population -- (Estimate)
B02006m11,Laotian:   Total Asian alone population -- (Margin of Error)
B02006e12,Malaysian:   Total Asian alone population -- (Estimate)
B02006m12,Malaysian:   Total Asian alone population -- (Margin of Error)
B02006e13,Pakistani:   Total Asian alone population -- (Estimate)
B02006m13,Pakistani:   Total Asian alone population -- (Margin of Error)
B02006e14,Sri Lankan:   Total Asian alone population -- (Estimate)
B02006m14,Sri Lankan:   Total Asian alone population -- (Margin of Error)
B02006e15,Taiwanese:   Total Asian alone population -- (Estimate)
B02006m15,Taiwanese:   Total Asian alone population -- (Margin of Error)
B02006e16,Thai:   Total Asian alone population -- (Estimate)
B02006m16,Thai:   Total Asian alone population -- (Margin of Error)
B02006e17,Vietnamese:   Total Asian alone population -- (Estimate)
B02006m17,Vietnamese:   Total Asian alone population -- (Margin of Error)
B02006e18,Other Asian:   Total Asian alone population -- (Estimate)
B02006m18,Other Asian:   Total Asian alone population -- (Margin of Error)
B02006e19,"Other Asian, not specified:   Total Asian alone population -- (Estimate)"
B02006m19,"Other Asian, not specified:   Total Asian alone population -- (Margin of Error)"
B02007e1,Total:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m1,Total:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e2,Polynesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m2,Polynesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e3,Polynesian:  Native Hawaiian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m3,Polynesian:  Native Hawaiian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e4,Polynesian:  Samoan:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m4,Polynesian:  Samoan:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e5,Polynesian:  Tongan:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m5,Polynesian:  Tongan:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e6,Polynesian:  Other Polynesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m6,Polynesian:  Other Polynesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e7,Micronesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m7,Micronesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e8,Micronesian:  Guamanian or Chamorro:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m8,Micronesian:  Guamanian or Chamorro:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e9,Micronesian:  Other Micronesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m9,Micronesian:  Other Micronesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e10,Melanesian :   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m10,Melanesian :   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e11,Melanesian:  Fijian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m11,Melanesian:  Fijian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e12,Melanesian:  Other Melanesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m12,Melanesian:  Other Melanesian:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e13,Other Pacific Islander:   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)
B02007m13,Other Pacific Islander:   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)
B02007e14,"Other Pacific Islander, not specified (check box only):   Total Native Hawaiian and Other Pacific Islander alone population -- (Estimate)"
B02007m14,"Other Pacific Islander, not specified (check box only):   Total Native Hawaiian and Other Pacific Islander alone population -- (Margin of Error)"
