obsid,siteid,plot,date_sampled,sciname ,diameter,condition
52,1,A,6/10/12,Abies lasiocarpa,15.02,normal
53,1,A,6/10/12,Abies lasiocarpa,20.68,dry
54,1,A,6/10/12,Abies lasiocarpa,17.21,dry
55,1,A,6/10/12,Abies lasiocarpa,22.31,normal
56,1,A,6/10/12,Abies lasiocarpa,25.39,normal
57,1,A,6/10/12,Abies lasiocarpa,29.26,dry
58,1,A,6/10/12,Abies lasiocarpa,29.21,dry
59,1,A,6/10/12,Abies lasiocarpa,26.98,normal
60,1,A,6/10/12,Abies lasiocarpa,26.05,dry
61,1,A,6/10/12,Abies lasiocarpa,30.03,normal
62,1,A,6/10/12,Picea engelmannii,28.35,dry
63,1,B,6/13/11,Abies lasiocarpa,31.84,normal
64,1,B,6/13/11,Picea engelmannii,4.57,dry
65,1,B,6/13/11,Picea engelmannii,7.56,dry
66,1,B,6/13/11,Picea engelmannii,10.03,dry
67,1,B,6/13/11,Picea engelmannii,14.07,dry
68,1,B,6/13/11,Picea engelmannii,14.51,normal
69,1,B,6/13/11,Picea engelmannii,21.7,normal
70,1,B,6/13/11,Picea engelmannii,27.7,dry
71,1,B,6/13/11,Picea engelmannii,29.63,normal
72,1,B,6/13/11,Picea engelmannii,34.9,dry
73,1,B,6/13/11,Picea engelmannii,37.55,dry
74,1,B,6/13/11,Picea engelmannii,60.34,normal
75,1,B,6/13/11,Sambucus racemosa,3.39,dry
76,1,B,6/13/11,Pseudotsuga menziesii,1.71,dry
77,1,B,6/13/11,Pseudotsuga menziesii,15.75,normal
78,1,B,6/13/11,Pseudotsuga menziesii,20.18,normal
79,1,B,6/13/11,Pseudotsuga menziesii,50.64,dry
80,1,B,6/13/11,Jamesia americana,4.46,dry
81,1,B,6/13/11,Abies lasiocarpa,0.73,normal
82,1,B,6/13/11,Abies lasiocarpa,7.26,dry
83,1,B,6/10/12,Picea engelmannii,4.85,dry
84,1,B,6/10/12,Picea engelmannii,2.29,normal
85,1,B,6/10/12,Picea engelmannii,4.5,normal
86,1,B,6/10/12,Picea engelmannii,8.02,dry
87,1,B,6/10/12,Picea engelmannii,10.34,dry
88,1,B,6/10/12,Picea engelmannii,11.25,normal
89,1,B,6/10/12,Picea engelmannii,14.15,normal
90,1,B,6/10/12,Picea engelmannii,20.21,dry
91,1,B,6/10/12,Sambucus racemosa,19.53,dry
92,1,B,6/10/12,Pseudotsuga menziesii,46.44,normal
93,1,B,6/10/12,Pseudotsuga menziesii,3,dry
94,1,B,6/10/12,Pseudotsuga menziesii,2.88,normal
95,1,B,6/10/12,Pseudotsuga menziesii,4.52,dry
96,1,B,6/10/12,Jamesia americana,9.38,dry
97,1,B,6/10/12,Abies lasiocarpa,10.72,normal
98,1,B,6/10/12,Abies lasiocarpa,11.52,dry
99,1,B,6/10/12,Abies lasiocarpa,16.32,normal
100,1,B,6/10/12,Abies lasiocarpa,22.77,dry
101,1,B,6/10/12,Abies lasiocarpa,17.18,dry
102,1,B,6/10/12,Abies lasiocarpa,23.87,normal
103,1,B,6/10/12,Abies lasiocarpa,23.83,normal
104,2,A,6/13/11,Abies lasiocarpa,31.43,normal
105,2,A,6/13/11,Picea engelmannii,5.51,dry
106,2,A,6/13/11,Picea engelmannii,7.09,dry
107,2,A,6/13/11,Picea engelmannii,9.04,dry
108,2,A,6/13/11,Picea engelmannii,14.81,dry
109,2,A,6/13/11,Picea engelmannii,13.68,normal
110,2,A,6/13/11,Picea engelmannii,17.91,normal
111,2,A,6/13/11,Picea engelmannii,23.78,dry
112,2,A,6/13/11,Picea engelmannii,29.66,normal
113,2,A,6/13/11,Picea engelmannii,32.31,dry
114,2,A,6/13/11,Picea engelmannii,39.82,dry
115,2,A,6/13/11,Picea engelmannii,61.42,normal
116,2,A,6/13/11,Sambucus racemosa,1.4,dry
117,2,A,6/13/11,Pseudotsuga menziesii,2.22,dry
118,2,A,6/13/11,Pseudotsuga menziesii,13.6,normal
119,2,A,6/13/11,Pseudotsuga menziesii,20.15,normal
120,2,A,6/13/11,Pseudotsuga menziesii,49.9,dry
121,2,A,6/13/11,Jamesia americana,5.01,dry
122,2,A,6/13/11,Abies lasiocarpa,1.54,normal
123,2,A,6/13/11,Abies lasiocarpa,5.48,dry
124,2,A,6/13/11,Abies lasiocarpa,5.75,normal
125,2,A,6/13/11,Abies lasiocarpa,10.5,dry
126,2,A,6/13/11,Abies lasiocarpa,14.88,dry
127,2,A,6/13/11,Abies lasiocarpa,13.32,normal
128,2,A,6/13/11,Abies lasiocarpa,19.25,normal
129,2,A,6/13/11,Abies lasiocarpa,16.04,dry
130,2,A,6/13/11,Abies lasiocarpa,23.95,dry
131,2,A,6/13/11,Abies lasiocarpa,24.08,normal
132,2,A,6/13/11,Abies lasiocarpa,29.51,dry
133,2,A,6/13/11,Abies lasiocarpa,32.18,normal
134,2,A,6/13/11,Picea engelmannii,28,dry
135,2,A,6/10/12,Abies lasiocarpa,31.25,normal
136,2,A,6/10/12,Picea engelmannii,3.95,dry
137,2,A,6/10/12,Picea engelmannii,8.97,dry
138,2,A,6/10/12,Picea engelmannii,45.94,dry
139,2,A,6/10/12,Picea engelmannii,1.32,dry
140,2,A,6/10/12,Picea engelmannii,1.09,normal
141,2,A,6/10/12,Picea engelmannii,6.71,normal
142,2,A,6/10/12,Picea engelmannii,7.48,dry
143,2,A,6/10/12,Picea engelmannii,7.97,dry
144,2,A,6/10/12,Picea engelmannii,12.22,normal
145,2,A,6/10/12,Picea engelmannii,13.41,normal
146,2,A,6/10/12,Picea engelmannii,19.99,dry
147,2,A,6/10/12,Sambucus racemosa,20.19,dry
148,2,A,6/10/12,Pseudotsuga menziesii,46.27,normal
149,2,A,6/10/12,Pseudotsuga menziesii,4.15,dry
150,2,A,6/10/12,Pseudotsuga menziesii,2.04,normal
151,2,A,6/10/12,Pseudotsuga menziesii,4.18,dry
152,2,A,6/10/12,Jamesia americana,10.03,dry
153,2,A,6/10/12,Abies lasiocarpa,10.97,normal
154,2,A,6/10/12,Abies lasiocarpa,15.14,dry
155,2,A,6/10/12,Abies lasiocarpa,13.46,normal
156,2,A,6/10/12,Abies lasiocarpa,21.23,dry
157,2,A,6/10/12,Abies lasiocarpa,18.51,dry
158,2,A,6/10/12,Abies lasiocarpa,21.16,normal
159,2,A,6/10/12,Abies lasiocarpa,23.94,normal
160,2,A,6/10/12,Abies lasiocarpa,26.01,dry
161,2,A,6/10/12,Abies lasiocarpa,30.9,dry
162,2,A,6/10/12,Abies lasiocarpa,27.86,normal
163,2,A,6/10/12,Abies lasiocarpa,26.1,dry
164,2,A,6/10/12,Abies lasiocarpa,30.09,normal
165,2,A,6/10/12,Picea engelmannii,29.84,dry
166,2,B,6/13/11,Abies lasiocarpa,32.48,normal
167,2,B,6/13/11,Picea engelmannii,6.87,dry
168,2,B,6/13/11,Picea engelmannii,8.3,dry
169,2,B,6/13/11,Picea engelmannii,10.07,dry
170,2,B,6/13/11,Picea engelmannii,14.28,dry
171,2,B,6/13/11,Picea engelmannii,15.56,normal
172,2,B,6/13/11,Picea engelmannii,19.53,normal
173,2,B,6/13/11,Picea engelmannii,24.51,dry
174,2,B,6/13/11,Picea engelmannii,31.38,normal
175,2,B,6/13/11,Picea engelmannii,34.02,dry
176,2,B,6/13/11,Picea engelmannii,38.67,dry
177,2,B,6/13/11,Picea engelmannii,59.95,normal
178,2,B,6/13/11,Sambucus racemosa,1.61,dry
179,2,B,6/13/11,Pseudotsuga menziesii,1.47,dry
180,2,B,6/13/11,Pseudotsuga menziesii,15.42,normal
181,2,B,6/13/11,Pseudotsuga menziesii,20.51,normal
182,2,B,6/13/11,Pseudotsuga menziesii,47.96,dry
183,2,B,6/13/11,Jamesia americana,2.38,dry
184,2,B,6/13/11,Abies lasiocarpa,2.47,normal
185,2,B,6/13/11,Abies lasiocarpa,3.85,dry
186,2,B,6/10/12,Picea engelmannii,4.45,dry
187,2,B,6/10/12,Picea engelmannii,2.51,normal
188,2,B,6/10/12,Picea engelmannii,4.27,normal
189,2,B,6/10/12,Picea engelmannii,7.54,dry
190,2,B,6/10/12,Picea engelmannii,7.96,dry
191,2,B,6/10/12,Picea engelmannii,13.44,normal
192,2,B,6/10/12,Picea engelmannii,16.13,normal
193,2,B,6/10/12,Picea engelmannii,18.37,dry
194,2,B,6/10/12,Sambucus racemosa,17.42,dry
195,2,B,6/10/12,Pseudotsuga menziesii,49.28,normal
196,2,B,6/10/12,Pseudotsuga menziesii,3.42,dry
197,2,B,6/10/12,Pseudotsuga menziesii,2.39,normal
198,2,B,6/10/12,Pseudotsuga menziesii,6.68,dry
199,2,B,6/10/12,Jamesia americana,9.45,dry
200,2,B,6/10/12,Abies lasiocarpa,9.45,normal
201,2,B,6/10/12,Abies lasiocarpa,14.29,dry
202,2,B,6/10/12,Abies lasiocarpa,16.81,normal
203,2,B,6/10/12,Abies lasiocarpa,20.38,dry
204,2,B,6/10/12,Abies lasiocarpa,16.87,dry
205,2,B,6/10/12,Abies lasiocarpa,21.98,normal
206,2,B,6/10/12,Abies lasiocarpa,22.94,normal
207,3,A,6/13/11,Abies lasiocarpa,34.39,normal
208,3,A,6/13/11,Picea engelmannii,6.09,dry
209,3,A,6/13/11,Picea engelmannii,5.7,dry
210,3,A,6/13/11,Picea engelmannii,7.85,dry
211,3,A,6/13/11,Picea engelmannii,13.02,dry
212,3,A,6/13/11,Picea engelmannii,14.95,normal
213,3,A,6/13/11,Picea engelmannii,18.15,normal
214,3,A,6/13/11,Picea engelmannii,26.97,dry
215,3,A,6/13/11,Picea engelmannii,31.83,normal
216,3,A,6/13/11,Picea engelmannii,34.71,dry
217,3,A,6/13/11,Picea engelmannii,36.66,dry
218,3,A,6/13/11,Picea engelmannii,62.3,normal
219,3,A,6/13/11,Sambucus racemosa,2.07,dry
220,3,A,6/13/11,Pseudotsuga menziesii,2.28,dry
221,3,A,6/13/11,Pseudotsuga menziesii,16.62,normal
222,3,A,6/13/11,Pseudotsuga menziesii,17.93,normal
223,3,A,6/13/11,Pseudotsuga menziesii,47.23,dry
224,3,A,6/13/11,Jamesia americana,1.98,dry
225,3,A,6/13/11,Abies lasiocarpa,3.39,normal
226,3,A,6/13/11,Abies lasiocarpa,5.17,dry
227,3,A,6/13/11,Abies lasiocarpa,9.44,normal
228,3,A,6/13/11,Abies lasiocarpa,10.41,dry
229,3,A,6/13/11,Abies lasiocarpa,11.25,dry
230,3,A,6/13/11,Abies lasiocarpa,15.6,normal
231,3,A,6/13/11,Abies lasiocarpa,20.68,normal
232,3,A,6/13/11,Abies lasiocarpa,19.11,dry
233,3,A,6/13/11,Abies lasiocarpa,20.72,dry
234,3,A,6/13/11,Abies lasiocarpa,27.55,normal
235,3,A,6/13/11,Abies lasiocarpa,30.3,dry
236,3,A,6/13/11,Abies lasiocarpa,30.54,normal
237,3,A,6/13/11,Picea engelmannii,30.41,dry
238,3,A,6/10/12,Abies lasiocarpa,34.83,normal
239,3,A,6/10/12,Picea engelmannii,5.74,dry
240,3,A,6/10/12,Picea engelmannii,6.21,dry
241,3,A,6/10/12,Picea engelmannii,49.9,dry
242,3,A,6/10/12,Picea engelmannii,4.19,dry
243,3,A,6/10/12,Picea engelmannii,1.17,normal
244,3,A,6/10/12,Picea engelmannii,6.34,normal
245,3,A,6/10/12,Picea engelmannii,7.34,dry
246,3,A,6/10/12,Picea engelmannii,9.78,dry
247,3,A,6/10/12,Picea engelmannii,10.56,normal
248,3,A,6/10/12,Picea engelmannii,15.47,normal
249,3,A,6/10/12,Picea engelmannii,21.49,dry
250,3,A,6/10/12,Sambucus racemosa,19.65,dry
251,3,A,6/10/12,Pseudotsuga menziesii,47.51,normal
252,3,A,6/10/12,Pseudotsuga menziesii,0.86,dry
253,3,A,6/10/12,Pseudotsuga menziesii,1.31,normal
254,3,A,6/10/12,Pseudotsuga menziesii,3.45,dry
255,3,A,6/10/12,Jamesia americana,6,dry
256,3,A,6/10/12,Abies lasiocarpa,10.48,normal
257,3,A,6/10/12,Abies lasiocarpa,13.7,dry
258,3,A,6/10/12,Abies lasiocarpa,13.55,normal
259,3,A,6/10/12,Abies lasiocarpa,18.43,dry
260,3,A,6/10/12,Abies lasiocarpa,19.8,dry
261,3,A,6/10/12,Abies lasiocarpa,24.19,normal
262,3,A,6/10/12,Abies lasiocarpa,26.37,normal
263,3,A,6/10/12,Abies lasiocarpa,26.74,dry
264,3,A,6/10/12,Abies lasiocarpa,30.3,dry
265,3,A,6/10/12,Abies lasiocarpa,26.83,normal
266,3,A,6/10/12,Abies lasiocarpa,26.28,dry
267,3,A,6/10/12,Abies lasiocarpa,32.27,normal
268,3,A,6/10/12,Picea engelmannii,26.91,dry
269,3,B,6/13/11,Abies lasiocarpa,30.53,normal
270,3,B,6/13/11,Picea engelmannii,3.52,dry
271,3,B,6/13/11,Picea engelmannii,6.87,dry
272,3,B,6/13/11,Picea engelmannii,8.67,dry
273,3,B,6/13/11,Picea engelmannii,11.81,dry
274,3,B,6/13/11,Picea engelmannii,13.22,normal
275,3,B,6/13/11,Picea engelmannii,22.72,normal
276,3,B,6/13/11,Picea engelmannii,23.92,dry
277,3,B,6/13/11,Picea engelmannii,31.3,normal
278,3,B,6/13/11,Picea engelmannii,33.08,dry
279,3,B,6/13/11,Picea engelmannii,37.08,dry
280,3,B,6/13/11,Picea engelmannii,58.75,normal
281,3,B,6/13/11,Sambucus racemosa,2.43,dry
282,3,B,6/13/11,Pseudotsuga menziesii,1.09,dry
283,3,B,6/13/11,Pseudotsuga menziesii,13.39,normal
284,3,B,6/13/11,Pseudotsuga menziesii,21.9,normal
285,3,B,6/13/11,Pseudotsuga menziesii,47.47,dry
286,3,B,6/13/11,Jamesia americana,4.74,dry
287,3,B,6/13/11,Abies lasiocarpa,1.72,normal
288,3,B,6/13/11,Abies lasiocarpa,6.15,dry
289,3,B,6/10/12,Picea engelmannii,2.39,dry
290,3,B,6/10/12,Picea engelmannii,3.63,normal
291,3,B,6/10/12,Picea engelmannii,2.74,normal
292,3,B,6/10/12,Picea engelmannii,8.82,dry
293,3,B,6/10/12,Picea engelmannii,8.87,dry
294,3,B,6/10/12,Picea engelmannii,10.5,normal
295,3,B,6/10/12,Picea engelmannii,13.7,normal
296,3,B,6/10/12,Picea engelmannii,22.27,dry
297,3,B,6/10/12,Sambucus racemosa,19.42,dry
298,3,B,6/10/12,Pseudotsuga menziesii,47.75,normal
299,3,B,6/10/12,Pseudotsuga menziesii,5.13,dry
300,3,B,6/10/12,Pseudotsuga menziesii,0.95,normal
301,3,B,6/10/12,Pseudotsuga menziesii,3.46,dry
302,3,B,6/10/12,Jamesia americana,8.28,dry
303,3,B,6/10/12,Abies lasiocarpa,12.43,normal
304,3,B,6/10/12,Abies lasiocarpa,11.31,dry
305,3,B,6/10/12,Abies lasiocarpa,15.74,normal
306,3,B,6/10/12,Abies lasiocarpa,22.53,dry
307,3,B,6/10/12,Abies lasiocarpa,15.38,dry
308,3,B,6/10/12,Abies lasiocarpa,23.12,normal
309,3,B,6/10/12,Abies lasiocarpa,27.01,normal
310,4,A,6/13/11,Abies lasiocarpa,33.2,normal
311,4,A,6/13/11,Picea engelmannii,7.46,dry
312,4,A,6/13/11,Picea engelmannii,5.14,dry
313,4,A,6/13/11,Picea engelmannii,11.79,dry
314,4,A,6/13/11,Picea engelmannii,14.83,dry
315,4,A,6/13/11,Picea engelmannii,14.77,normal
316,4,A,6/13/11,Picea engelmannii,21.5,normal
317,4,A,6/13/11,Picea engelmannii,26.24,dry
318,4,A,6/13/11,Picea engelmannii,28.9,normal
319,4,A,6/13/11,Picea engelmannii,33.61,dry
320,4,A,6/13/11,Picea engelmannii,37.45,dry
321,4,A,6/13/11,Picea engelmannii,59.26,normal
322,4,A,6/13/11,Sambucus racemosa,3.92,dry
323,4,A,6/13/11,Pseudotsuga menziesii,0.97,dry
324,4,A,6/13/11,Pseudotsuga menziesii,14.47,normal
325,4,A,6/13/11,Pseudotsuga menziesii,19.17,normal
326,4,A,6/13/11,Pseudotsuga menziesii,48.01,dry
327,4,A,6/13/11,Jamesia americana,3.71,dry
328,4,A,6/13/11,Abies lasiocarpa,5.36,normal
329,4,A,6/13/11,Abies lasiocarpa,7.18,dry
330,4,A,6/13/11,Abies lasiocarpa,8.95,normal
331,4,A,6/13/11,Abies lasiocarpa,10.63,dry
332,4,A,6/13/11,Abies lasiocarpa,10.48,dry
333,4,A,6/13/11,Abies lasiocarpa,14.24,normal
334,4,A,6/13/11,Abies lasiocarpa,21.71,normal
335,4,A,6/13/11,Abies lasiocarpa,19.93,dry
336,4,A,6/13/11,Abies lasiocarpa,22.4,dry
337,4,A,6/13/11,Abies lasiocarpa,24.57,normal
338,4,A,6/13/11,Abies lasiocarpa,28.92,dry
339,4,A,6/13/11,Abies lasiocarpa,30.18,normal
340,4,A,6/13/11,Picea engelmannii,29.02,dry
341,4,A,6/10/12,Abies lasiocarpa,34.5,normal
342,4,A,6/10/12,Picea engelmannii,4.41,dry
343,4,A,6/10/12,Picea engelmannii,7.48,dry
344,4,A,6/10/12,Picea engelmannii,45.82,dry
345,4,A,6/10/12,Picea engelmannii,2.49,dry
346,4,A,6/10/12,Picea engelmannii,1.3,normal
347,4,A,6/10/12,Picea engelmannii,3.06,normal
348,4,A,6/10/12,Picea engelmannii,5.98,dry
349,4,A,6/10/12,Picea engelmannii,11.97,dry
350,4,A,6/10/12,Picea engelmannii,11.64,normal
351,4,A,6/10/12,Picea engelmannii,14.79,normal
352,4,A,6/10/12,Picea engelmannii,18.55,dry
353,4,A,6/10/12,Sambucus racemosa,18.97,dry
354,4,A,6/10/12,Pseudotsuga menziesii,50.2,normal
355,4,A,6/10/12,Pseudotsuga menziesii,4.19,dry
356,4,A,6/10/12,Pseudotsuga menziesii,3.38,normal
357,4,A,6/10/12,Pseudotsuga menziesii,2.73,dry
358,4,A,6/10/12,Jamesia americana,7.33,dry
359,4,A,6/10/12,Abies lasiocarpa,7.73,normal
360,4,A,6/10/12,Abies lasiocarpa,11.39,dry
361,4,A,6/10/12,Abies lasiocarpa,14.83,normal
362,4,A,6/10/12,Abies lasiocarpa,17.79,dry
363,4,A,6/10/12,Abies lasiocarpa,19.63,dry
364,4,A,6/10/12,Abies lasiocarpa,21.43,normal
365,4,A,6/10/12,Abies lasiocarpa,27.49,normal
366,4,A,6/10/12,Abies lasiocarpa,25.75,dry
367,4,A,6/10/12,Abies lasiocarpa,28.72,dry
368,4,A,6/10/12,Abies lasiocarpa,30.56,normal
369,4,A,6/10/12,Abies lasiocarpa,28.24,dry
370,4,A,6/10/12,Abies lasiocarpa,28.8,normal
371,4,A,6/10/12,Picea engelmannii,28.73,dry
372,4,B,6/13/11,Abies lasiocarpa,31.57,normal
373,4,B,6/13/11,Picea engelmannii,5.38,dry
374,4,B,6/13/11,Picea engelmannii,6.22,dry
375,4,B,6/13/11,Picea engelmannii,12.21,dry
376,4,B,6/13/11,Picea engelmannii,10.31,dry
377,4,B,6/13/11,Picea engelmannii,13.63,normal
378,4,B,6/13/11,Picea engelmannii,22.57,normal
379,4,B,6/13/11,Picea engelmannii,25.01,dry
380,4,B,6/13/11,Picea engelmannii,28.23,normal
381,4,B,6/13/11,Picea engelmannii,31.42,dry
382,4,B,6/13/11,Picea engelmannii,38.48,dry
383,4,B,6/13/11,Picea engelmannii,62.19,normal
384,4,B,6/13/11,Sambucus racemosa,2.74,dry
385,4,B,6/13/11,Pseudotsuga menziesii,3.49,dry
386,4,B,6/13/11,Pseudotsuga menziesii,17.11,normal
387,4,B,6/13/11,Pseudotsuga menziesii,20.1,normal
388,4,B,6/13/11,Pseudotsuga menziesii,49.97,dry
389,4,B,6/13/11,Jamesia americana,1.11,dry
390,4,B,6/13/11,Abies lasiocarpa,4.12,normal
391,4,B,6/13/11,Abies lasiocarpa,3.94,dry
392,4,B,6/10/12,Picea engelmannii,3.76,dry
393,4,B,6/10/12,Picea engelmannii,1.07,normal
394,4,B,6/10/12,Picea engelmannii,5.21,normal
395,4,B,6/10/12,Picea engelmannii,7.54,dry
396,4,B,6/10/12,Picea engelmannii,11.2,dry
397,4,B,6/10/12,Picea engelmannii,11.84,normal
398,4,B,6/10/12,Picea engelmannii,14.96,normal
399,4,B,6/10/12,Picea engelmannii,20.78,dry
400,4,B,6/10/12,Sambucus racemosa,18.87,dry
401,4,B,6/10/12,Pseudotsuga menziesii,49.56,normal
402,4,B,6/10/12,Pseudotsuga menziesii,5.43,dry
403,4,B,6/10/12,Pseudotsuga menziesii,1.89,normal
404,4,B,6/10/12,Pseudotsuga menziesii,6.54,dry
405,4,B,6/10/12,Jamesia americana,6.55,dry
406,4,B,6/10/12,Abies lasiocarpa,8.47,normal
407,4,B,6/10/12,Abies lasiocarpa,10.7,dry
408,4,B,6/10/12,Abies lasiocarpa,13.04,normal
409,4,B,6/10/12,Abies lasiocarpa,20.85,dry
410,4,B,6/10/12,Abies lasiocarpa,15.44,dry
411,4,B,6/10/12,Abies lasiocarpa,24.78,normal
412,4,B,6/10/12,Abies lasiocarpa,23.29,normal
413,5,A,6/13/11,Abies lasiocarpa,35.07,normal
414,5,A,6/13/11,Picea engelmannii,6.08,dry
415,5,A,6/13/11,Picea engelmannii,8.24,dry
416,5,A,6/13/11,Picea engelmannii,12.23,dry
417,5,A,6/13/11,Picea engelmannii,11.56,dry
418,5,A,6/13/11,Picea engelmannii,17.45,normal
419,5,A,6/13/11,Picea engelmannii,18.45,normal
420,5,A,6/13/11,Picea engelmannii,25,dry
421,5,A,6/13/11,Picea engelmannii,30.32,normal
422,5,A,6/13/11,Picea engelmannii,31.58,dry
423,5,A,6/13/11,Picea engelmannii,39.16,dry
424,5,A,6/13/11,Picea engelmannii,63.05,normal
425,5,A,6/13/11,Sambucus racemosa,5.57,dry
426,5,A,6/13/11,Pseudotsuga menziesii,1.59,dry
427,5,A,6/13/11,Pseudotsuga menziesii,16.69,normal
428,5,A,6/13/11,Pseudotsuga menziesii,22.35,normal
429,5,A,6/13/11,Pseudotsuga menziesii,48.08,dry
430,5,A,6/13/11,Jamesia americana,3.24,dry
431,5,A,6/13/11,Abies lasiocarpa,3.58,normal
432,5,A,6/13/11,Abies lasiocarpa,5.28,dry
433,5,A,6/13/11,Abies lasiocarpa,8.72,normal
434,5,A,6/13/11,Abies lasiocarpa,8.58,dry
435,5,A,6/13/11,Abies lasiocarpa,14.04,dry
436,5,A,6/13/11,Abies lasiocarpa,17.05,normal
437,5,A,6/13/11,Abies lasiocarpa,19.78,normal
438,5,A,6/13/11,Abies lasiocarpa,15.32,dry
439,5,A,6/13/11,Abies lasiocarpa,23.95,dry
440,5,A,6/13/11,Abies lasiocarpa,26.51,normal
441,5,A,6/13/11,Abies lasiocarpa,30.03,dry
442,5,A,6/13/11,Abies lasiocarpa,29.33,normal
443,5,A,6/13/11,Picea engelmannii,26.81,dry
444,5,A,6/10/12,Abies lasiocarpa,31.16,normal
445,5,A,6/10/12,Picea engelmannii,6.89,dry
446,5,A,6/10/12,Picea engelmannii,8.39,dry
447,5,A,6/10/12,Picea engelmannii,49.48,dry
448,5,A,6/10/12,Picea engelmannii,0.64,dry
449,5,A,6/10/12,Picea engelmannii,0.87,normal
450,5,A,6/10/12,Picea engelmannii,5.01,normal
451,5,A,6/10/12,Picea engelmannii,5.98,dry
452,5,A,6/10/12,Picea engelmannii,8.86,dry
453,5,A,6/10/12,Picea engelmannii,14.22,normal
454,5,A,6/10/12,Picea engelmannii,15.43,normal
455,5,A,6/10/12,Picea engelmannii,18.78,dry
456,5,A,6/10/12,Sambucus racemosa,19.39,dry
457,5,A,6/10/12,Pseudotsuga menziesii,48.21,normal
458,5,A,6/10/12,Pseudotsuga menziesii,3.64,dry
459,5,A,6/10/12,Pseudotsuga menziesii,1.45,normal
460,5,A,6/10/12,Pseudotsuga menziesii,5.45,dry
461,5,A,6/10/12,Jamesia americana,5.17,dry
462,5,A,6/10/12,Abies lasiocarpa,9.89,normal
463,5,A,6/10/12,Abies lasiocarpa,14.29,dry
464,5,A,6/10/12,Abies lasiocarpa,12.73,normal
465,5,A,6/10/12,Abies lasiocarpa,21.9,dry
466,5,A,6/10/12,Abies lasiocarpa,19.23,dry
467,5,A,6/10/12,Abies lasiocarpa,22.23,normal
468,5,A,6/10/12,Abies lasiocarpa,25.43,normal
469,5,A,6/10/12,Abies lasiocarpa,30.37,dry
470,5,A,6/10/12,Abies lasiocarpa,29.95,dry
471,5,A,6/10/12,Abies lasiocarpa,29.69,normal
472,5,A,6/10/12,Abies lasiocarpa,25.53,dry
473,5,A,6/10/12,Abies lasiocarpa,30.67,normal
474,5,A,6/10/12,Picea engelmannii,27.45,dry
475,5,B,6/13/11,Abies lasiocarpa,32.63,normal
