"FMID","MarketName","Website","street","city","County","State","zip","Season1Date","Season1Time","Season2Date","Season2Time","Season3Date","Season3Time","Season4Date","Season4Time","x","y","Location","Credit","WIC","WICcash","SFMNP","SNAP","Bakedgoods","Cheese","Crafts","Flowers","Eggs","Seafood","Herbs","Vegetables","Honey","Jams","Maple","Meat","Nursery","Nuts","Plants","Poultry","Prepared","Soap","Trees","Wine","updateTime"
1001961,"8th Avenue City Farmers Market",,"8th Ave & 2nd St SE","Cedar Rapids","Linn","Iowa",52401,"May to October","Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;",,,,,,,-91.6626534,41.972837,"Local government building grounds","Y","Y","N","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","N",4/25/2012 13:17
1000063,"92nd Street Greenmarket","http://www.grownyc.org","1st Ave - E 92nd & 93 Sts.","New York","New York","New York",10128,"06/23/2013 to 11/24/2013","Sun: 9:00 AM-4:00 PM;",,,,,,,-73.9464,40.7809,"Other","Y","Y","Y","Y","Y","Y","N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",7/24/2013 10:43
1000064,"97th Street Greenmarket","http://www.grownyc.org","W 97 St. & Columbus","New York","New York","New York",10025,"01/01/2013 to 12/31/2013","Fri: 8:00 AM-2:00 PM;",,,,,,,-73.967,40.7936,"Other","Y","Y","Y","Y","Y","Y","Y","N","N","Y","N","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N",7/24/2013 10:39
1001683,"A Better Choice Bakery & Market",,"27 W Potomac Street","Brunswick","Frederick","Maryland",21716,"January to December","Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;",,,,,,,-77.6277075,39.313066,"Co-located with wholesale market facility","Y","N","N","N","N","Y","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","N","N","N","Y","Y","Y","N","N",5/3/2012 17:01
1002697,"A Kentucky Farmer's Market LLC",,"2349 S Hwy 127","Russell Springs","Russell","Kentucky",42642,"June to October","Tue:7:00 AM - 4:00 PM;Fri:7:00 AM - 4:00 PM;Sat:7:00 AM - 2:00 PM;",,,,,,,-85.076795,37.032535,"Private business parking lot","Y","Y","N","Y","N","N","N","Y","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",4/27/2012 23:26
1007585,"AAMC Farmers's Market",,"2001 Medical Parkway, Sajak Pavilion","Annapolis","Anne Arundel","Maryland",21401,,,,,,,,,-76.6123,39.006,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",7/23/2011 23:54
1005547,"Abacoa Town Center Green Market",,"East of Donald Ross Road, Exit off I-95","Jupiter","Palm Beach","Florida",33478,,,,,,,,,-80.1296,26.8838,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1004573,"Abbeville Farmers Market",,"118 Trinity Street at Livery Stable","Abbeville","Abbeville","South Carolina",29620,"06/06/2013 to 10/04/2013","Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;",,,,,,,-82.380242,34.177429,"Local government building grounds","Y","N","N","Y","N","Y","N","Y","N","Y","N","Y","Y","Y","N","N","Y","N","N","Y","N","N","Y","N","N",7/11/2013 13:41
1006491,"ABBEVILLE FARMERS MARKET",,"100 COLUMBIA RD.","ABBEVILLE","HENRY","Alabama",36310,,,,,,,,,-85.2466,31.5633,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2011
1004598,"Abbotsford Farmers Market",,"1011 East Spruce St.","Abbotsford","Clark","Wisconsin",54405,"May to October","Tue:1:30 PM - 5:30 PM;",,,,,,,-90.307145,44.945665,"Private business parking lot","Y","Y","N","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","Y","N","Y","N","Y","N","N","N","Y","N",5/7/2012 10:47
1003865,"Abbott Northwestern Farmers Market","http://www.iatp.org/minimarkets","800 E 28th St","Minneapolis","Hennepin","Minnesota",,,,,,,,,,-93.2629,44.9556,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","May 26 2010 11:24PM"
1002947,"Aberdeen Farmers Market","http://www.dakotaflavor.com/category.asp?catid=12","2nd Ave., S.E. & S. Lincoln Street","Aberdeen","Brown","South Dakota",57401,,,,,,,,,-98.4866,45.4631,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1004031,"Abilene Farmers Market",,"East 1st & Buckeye St.","Abilene","Dickinson","Kansas",67410,,,,,,,,,-97.2139,38.9153,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1006744,"Abingdon Farmers Market","http://www.abingdonfarmersmarket.com","Remsburg Drive and Cummings Street","Abingdon","Washington","Virginia",24210,"04/20/2013 to 03/22/2014","Tue: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;",,,,,,,-81.977406,36.708734,"Local government building grounds","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y",6/17/2013 18:33
1000065,"Abingdon Square Greenmarket","http://www.grownyc.org","W12 St. & 8th Ave","New York","New York","New York",10014,"01/01/2013 to 12/31/2013","Sat: 8:00 AM-2:00 PM;",,,,,,,-74.0053,40.7372,"Other","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","N","Y","N","N","N","N",7/24/2013 10:36
1006988,"Abington","http://www.abingtonsage.com","362 Plymouth Street","Abington","Plymouth","Massachusetts",2351,"07/13/2013 to 09/21/2013","Sat: 9:00 AM-12:00 PM;",,,,,,,-70.9369,42.119,"Local government building grounds","Y","N","N","N","N","Y","N","N","N","Y","N","Y","Y","Y","N","Y","N","N","N","Y","N","N","Y","N","N",6/12/2013 21:34
1007070,"Abington Farmers Market",,"12055 Rose Drove","Clarks Summit","Lackawanna","Pennsylvania",,,,,,,,,,-75.7746,41.425,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1004762,"ABQ Uptown Growers' Market","http://www.abquptowngrowersmarket.org","NE parking lot of ABQ Uptown shopping center","Albququerque","Bernalillo","New Mexico",,"June to October","Sat:7:00 AM - 12:00 PM;",,,,,,,-106.565838,35.103988,"Other","Y","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5/9/2012 17:38
1004763,"ABQ Uptown Growers' Market","http://www.abquptowngrowersmarket.org","1200 Block of Central Ave NE","Albuquerque","Bernalillo","New Mexico",,"June to October","Tue:7:00 AM - 12:00 PM;",,,,,,,-106.633172,35.082375,"Healthcare Institution","Y","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5/9/2012 17:38
20001,"ABV Farm Market","http://www.appleblossomvillage.com/","690 Allegheny Road","Mount Bethe",,"Pennsylvania",18343,,,,,,,,,-75.0998,40.8743,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N",
1002108,"Acadia Farmers' Market in Town Hill",,,"Town Hill","Hancock","Maine",,,,,,,,,,-68.9716,44.5908,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1007575,"Acadiana Farmers Market",,"801 Foreman Drive","Opelousas","Lafayette","Louisiana",70570,,,,,,,,,-92.0634,30.2147,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2011
1005122,"Ace Farmers Market",,"115 Black River Blvd","Rome","Oneida","New York",,,,,,,,,,-75.4541,43.2098,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2011
1008461,"Acme Ranch Truck Patch","http://www.agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877","RR1 Box 146","Birch Tree","Shannon","Missouri",65438,,"Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;",,,,,,,-91.492638,36.991165,"On a farm from: a barn, a greenhouse, a tent, a stand, etc","Y","N","N","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","Y","N","N","N","Y","N",6/25/2013 15:20
1003469,"Acton-Boxborough Farmers Market","http://www.ABFarmersMarket.org","1 Pearl St","Acton","Middlesex","Massachusetts",1720,"June 19, 2012 to October 21, 2012","sun:10:00 AM - 1:00 PM;",,,,,,,-71.47415,42.47518,"Closed-off public street","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y",5/24/2012 13:08
1003112,"Acushnet farmers market","http://www.stonebridgefarmevents.com","186 Leonard Street","Acushnet","Bristol","Massachusetts",2743,"06/15/2013 to 10/19/2013","Sat: 9:00 AM-1:00 PM;",,,,,,,-70.8999,41.7199,"On a farm from: a barn, a greenhouse, a tent, a stand, etc","Y","N","N","N","N","Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","N","N","N","Y","N","Y","Y","N","N",6/10/2013 12:56
1007519,"Acworth Farmers Market",,"Main and Lemon Streets","Acworth","Cobb","Georgia",,,,,,,,,,-84.6767,34.0657,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1001393,"Ada Farmer's Market",,"12th Street and Townsend","Ada","Pontotoc","Oklahoma",74820,"April to November","Wed:6:00 am - 2:00 pm;Sat:6:00 am - 2:00 pm;",,,,,,,-96.6797,34.7739,"Private business parking lot","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","N","N","N","N","Jun 4 2010 4:34PM"
1001083,"Ada Farmers' Market","http://www.adafarmersmarket.com","7239 Thornapple River Dr.","Ada","Kent","Michigan",49301,"06/18/2013 to 09/24/2013","Tue: 12:00 PM-6:00 PM;",,,,,,,-85.4889683,42.9553715,"Faith-based institution (e.g., church, mosque, synagogue, temple)","Y","N","N","N","Y","Y","Y","N","Y","Y","N","N","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","N",6/10/2013 17:42
1006969,"AdairCo Farmers Market",,"409 Fairground Street, Adair County co-op ext service parking lot","Columbia","Adair County","Kentucky",,,,,,,,,,-85.297,37.1043,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2011
1005790,"Adams County Farmers' Market Association","http://www.acfarmersmarkets.org","Gettysburg Recreation Park 545 Long Lane","Gettysburg","Adams","Pennsylvania",17325,"May to October","Wed:12:00 PM - 4:00 PM;",,,,,,,-77.237298,39.825018,"Other","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","Y","N","N",7/14/2012 12:11
1008775,"Adams County Farmers' Market Association","http://www.acfarmersmarkets.org","1863 Gettysburg Village Drive","Gettysburg","Adams","Pennsylvania",17325,"05/04/2013 to 10/26/2013","Fri: 9:30 AM-2:00 PM;Sat: 9:30 AM-2:00 PM;",,,,,,,-77.200397,39.793778,"Private business parking lot","Y","Y","N","Y","Y","Y","Y","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","Y","Y","Y","Y","N","N",6/28/2013 14:48
1007597,"Adams Farmers Market",,"60 Columbia Street","Adams",,"Massachusetts",1220,,,,,,,,,-73.1158,42.6293,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1008006,"Adams Morgan Farmers Market","http://www.lickingcreekbendfarm.com","18th St. and Columbia Rd. NW","Washington","District of Columbia","District of Columbia",20009,"06/05/2013 to 12/21/2013","Sat: 7:30 AM-1:00 PM;",,,,,,,-77.0426,38.9226,"Other","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",6/19/2013 18:03
1005109,"Added Value Farm Stand at Governors Island",,"Gresham Rd","Brooklyn","Kings","New York","11231-1235",,,,,,,,,-74.0231,40.6875,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2011
1002464,"Addison Farmers Market",,"One Friendship Plaza","Addison","DuPage","Illinois",60101,,,,,,,,,-87.9934,41.9321,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1005741,"Adel Farmers Market",,"Courthouse Square","Adel","Dallas","Iowa",50830,,,,,,,,,-94.0175,41.6144,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1005272,"Adelanto Stadium Farmers Market",,"Hwy 395 & Rancho Drive","Victorville","San Bernardino","California",92392,,,,,,,,,-117.405,34.5593,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
20002,"Adrian Farmers Market",,"115 Toledo Street","Adrian",,"Michigan",49221,,,,,,,,,-84.0351,41.9002,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N",
1008667,"Afton Village Farmers Market","http://www.piedmont-farmersmarket.com","5401 Village Dr","Concord","Cabarrus","North Carolina",28027,"01/01/2013 to 12/31/2013","Thu: 4:00 PM-7:00 PM;",,,,,,,-80.670172,35.414038,"Other","Y","Y","N","N","N","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","N",6/27/2013 13:53
1007586,"AGH Wellness Committee Farmer's Market",,"9733 Healthway Drive","Berlin","Worcester","Maryland",21811,,,,,,,,,-75.2113,38.3388,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",7/23/2011 23:58
1003178,"Agricenter International Farmers Market","http://www.agricenter.org","7777 Walnut Grove Road","Memphis","Shelby","Tennessee",38120,"05/01/2013 to 10/31/2013","Mon: 7:30 AM-5:30 PM;Tue: 7:30 AM-5:30 PM;Wed: 7:30 AM-5:30 PM;Thu: 7:30 AM-5:30 PM;Fri: 7:30 AM-5:30 PM;Sat: 7:00 AM-5:30 PM;",,,,,,,-89.801873,35.127315,"Local government building grounds","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","Y","N",6/10/2013 12:55
1003562,"Agritopia Farm Stand","http://www.agritopia.com","3000 E. Ray Road (Higley & Ray)","Gilbert","Maricopa","Arizona",85233,,,,,,,,,-111.726,33.3219,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
